City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
231,Nabire,ID,84.78,clear sky,-3.3667,135.4833,Hotel Nusantara I
232,Central Point,US,86.29,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
234,Viransehir,TR,78.19,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
235,Fairbanks,US,85.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
236,Acajutla,SV,80.46,broken clouds,13.5928,-89.8275,Laureles
239,Manuk Mangkaw,PH,84.76,overcast clouds,4.8,119.85,
240,Tautira,PF,76.59,light rain,-17.7333,-149.15,Pension Oaoa
242,Avera,US,75.25,overcast clouds,33.194,-82.5271,
244,Jaisalmer,IN,85.69,overcast clouds,26.9147,70.9181,Hotel Fifu
246,Angoram,PG,87.15,broken clouds,-4.0625,144.0661,
251,Burley,US,88.29,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
253,Alta Floresta,BR,75.07,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
254,Brownsville,US,88.09,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
255,Padang,ID,75.25,clear sky,-0.9492,100.3543,Mercure Padang
257,Kimbe,PG,88.52,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
258,Dzilam Gonzalez,MX,82.22,broken clouds,21.2833,-88.9333,posadas
261,Baculin,PH,85.77,light rain,7.4525,126.5842,Baculin Cove Beach Resort
265,Atambua,ID,78.19,few clouds,-9.1061,124.8925,Kost Alfa Flat
268,Safaga,EG,85.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
274,Harper,LR,76.03,broken clouds,4.375,-7.7169,Screensaver
276,Kapit,MY,82.8,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
280,Tateyama,JP,79.16,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
284,East Foothills,US,77.97,clear sky,37.3811,-121.8175,Lucid Air Duct Cleaning
285,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
296,Buala,SB,83.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
298,Roquetas De Mar,ES,79.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
300,Pinalejo,HN,77.97,overcast clouds,15.3833,-88.4,OBED TOPVIT MENJIVAR
301,Malindi,KE,75.47,clear sky,-3.2175,40.1191,African House Resort
302,Boyolangu,ID,78.08,overcast clouds,-8.1181,111.8935,Yos ega cv
304,Victoria,HK,82.33,light rain,22.2855,114.1577,Mini Central
305,Sabha,LY,87.39,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
307,San Patricio,US,88.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
309,Dwarka,IN,83.16,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
310,Bengkulu,ID,75.76,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
311,Da Nang,VN,84.18,moderate rain,16.0678,108.2208,Grand Mercure Danang
315,Hobyo,SO,76.3,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
317,Bubaque,GW,80.71,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
318,Maragogi,BR,75.51,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
321,Ternate,ID,82.04,light rain,0.8,127.4,Sahid Bela Ternate Hotel
325,Melendugno,IT,77.09,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
328,Whitehorse,CA,75.02,smoke,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
333,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
335,Dalbandin,PK,85.44,overcast clouds,28.8947,64.4101,Sanjrani House
337,Acarau,BR,76.91,clear sky,-2.8856,-40.12,castelo pizzaria
341,Calabazar De Sagua,CU,81.07,few clouds,22.6447,-79.8961,Hostal La Terraza
345,Jaffna,LK,83.89,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
346,Buluang,PH,82.72,light rain,13.3068,123.3425,Sacueza Beach Resort
347,Sola,VU,80.04,few clouds,-13.8833,167.55,Leumerus Bungalows
348,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Kutum,SD,78.44,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
359,Bilma,NE,87.94,few clouds,18.6853,12.9164,Expeditions Ténére voyages
361,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
363,Zhenlai,CN,81.12,broken clouds,45.8495,123.2973,
365,Kismayo,SO,75.02,light rain,-0.3582,42.5454,Agan-Hotel
366,Kinablangan,PH,85.15,moderate rain,7.6947,126.5503,Morales Eatery and Lodging House
367,College,US,85.59,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
371,Bosaso,SO,87.75,scattered clouds,11.2842,49.1816,Red Sea Hotel
375,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
376,Centralia,US,75.94,clear sky,46.7162,-122.9543,Peppermill Inn
378,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
380,Russell,US,82.0,light rain,32.3502,-85.1999,Macs
382,Pochutla,MX,83.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
386,Labuhan,ID,79.5,scattered clouds,-6.8844,112.2051,DoubleFAG
387,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
389,Dhidhdhoo,MV,82.53,overcast clouds,6.8833,73.1,Dhidhoo beach
390,Klichka,RU,78.71,few clouds,50.4457,117.996,
395,Itaituba,BR,75.29,overcast clouds,-4.2761,-55.9836,Hotel Campos
396,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
398,Kupang,ID,81.18,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
