City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
86,Bengkulu,-3.8004,102.2655,72.21,82,66,5.21,broken clouds
87,Gat,31.61,34.7642,76.82,100,0,2.75,clear sky
88,Puerto Ayora,-0.7393,-90.3518,76.96,85,45,8.01,scattered clouds
89,Tra Vinh,9.9347,106.3453,77.54,92,100,6.51,overcast clouds
90,Avarua,-21.2078,-159.775,80.65,65,20,17.27,few clouds
91,Geraldton,-28.7667,114.6,43.21,75,0,8.05,clear sky
92,Prado,-17.3411,-39.2208,71.76,79,7,7.87,clear sky
93,Cabo San Lucas,22.8909,-109.9124,92.61,48,0,16.11,clear sky
94,Naze,28.3667,129.4833,77.92,88,98,13.02,overcast clouds
95,Jalu,29.0331,21.5482,83.91,28,0,8.43,clear sky
96,Cairns,-16.9167,145.7667,75.07,91,40,13.8,scattered clouds
97,Lorengau,-2.0226,147.2712,84.74,73,53,14.23,broken clouds
98,Pangkalanbuun,-2.6833,111.6167,73.45,97,55,2.66,broken clouds
99,Dekar,-21.5333,21.9333,54.36,58,70,6.98,broken clouds
100,Paulo Afonso,-9.4061,-38.2147,70.02,96,89,8.39,overcast clouds
101,Bolshoy Lug,52.0779,104.0919,62.78,81,97,8.5,overcast clouds
102,Port Hardy,50.6996,-127.4199,62.78,77,75,9.22,broken clouds
103,Camacupa,-12.0167,17.4833,55.31,44,0,2.93,clear sky
104,Albany,42.6001,-73.9662,88.45,49,63,2.89,broken clouds
105,Cape Town,-33.9258,18.4232,65.37,67,20,18.41,few clouds
106,Asuncion,-25.3007,-57.6359,74.89,69,0,5.75,clear sky
107,Unecha,52.8459,32.6739,54.64,79,1,7.49,clear sky
108,Yerbogachen,61.2767,108.0108,68.56,66,74,7.29,broken clouds
109,Pemangkat,1.1667,108.9667,78.6,86,92,3.51,overcast clouds
110,Carnarvon,-24.8667,113.6333,58.6,49,0,17.11,clear sky
111,Saravan,39.7196,45.6483,57.79,62,33,6.98,scattered clouds
112,Hilo,19.7297,-155.09,86.29,88,100,6.91,light rain
113,Ponta Do Sol,32.6667,-17.1,71.01,81,10,4.68,clear sky
114,Lahat,-3.8,103.5333,68.14,87,69,2.62,broken clouds
115,Manjacaze,-24.7117,33.8828,59.72,94,0,3.65,clear sky
116,Tombouctou,20.0,-3.0,92.8,23,57,5.55,broken clouds
117,Chegutu,-18.1302,30.1407,52.79,87,37,7.29,scattered clouds
118,Bambous Virieux,-20.3428,57.7575,68.25,77,40,13.8,light rain
119,Axim,4.8699,-2.2405,75.81,80,43,9.64,scattered clouds
120,Quang Ngai,15.1167,108.8,79.74,71,100,2.33,light rain
121,Kahului,20.8947,-156.47,87.82,62,40,25.32,scattered clouds
122,Port Alfred,-33.5906,26.891,68.09,44,0,15.55,clear sky
123,Mama,58.3106,112.8986,71.8,82,100,3.13,overcast clouds
124,Urumqi,43.801,87.6005,68.95,53,0,4.47,clear sky
125,Chuy,-33.6971,-53.4616,56.05,85,75,13.27,moderate rain
126,Vaini,-21.2,-175.2,77.16,83,40,6.91,scattered clouds
127,Ngawen,-7.0032,111.3129,72.54,90,20,5.1,few clouds
128,Port Lincoln,-34.7333,135.8667,52.57,65,100,8.05,overcast clouds
129,Energetik,51.7445,58.7934,55.99,65,58,5.95,broken clouds
130,Pitimbu,-7.4706,-34.8086,77.59,87,3,9.24,clear sky
131,Nha Trang,12.25,109.1833,82.4,72,100,4.5,overcast clouds
132,Hobart,-42.8794,147.3294,42.06,88,40,10.36,scattered clouds
133,Abu Samrah,35.3029,37.1841,73.04,64,0,14.2,clear sky
134,Torbay,47.6666,-52.7314,65.17,83,75,9.22,broken clouds
135,Omaruru,-21.4333,15.9333,54.72,43,2,6.2,clear sky
136,Kruisfontein,-34.0033,24.7314,70.88,37,2,17.67,clear sky
137,Ketchikan,55.3422,-131.6461,64.87,72,100,9.22,overcast clouds
138,Kampot,10.6167,104.1833,82.45,84,100,6.64,light rain
139,Saint-Philippe,-21.3585,55.7679,67.21,70,93,13.58,overcast clouds
140,Qaanaaq,77.484,-69.3632,42.33,69,66,4.41,broken clouds
141,Atuona,-9.8,-139.0333,77.34,74,3,8.08,clear sky
142,Longyearbyen,78.2186,15.6401,42.64,93,75,10.36,broken clouds
143,Esperance,-33.8667,121.9,48.36,76,0,8.41,clear sky
144,Santa Vitoria Do Palmar,-33.5189,-53.3681,56.23,84,80,13.24,moderate rain
145,Basco,20.4487,121.9702,80.4,82,100,9.55,overcast clouds
146,Meulaboh,4.1363,96.1285,73.74,95,100,3.87,heavy intensity rain
147,High Level,58.5169,-117.136,68.11,42,75,5.75,broken clouds
148,Conceicao Do Araguaia,-8.2578,-49.2647,78.53,42,2,3.33,clear sky
149,Ancud,-41.8697,-73.8203,41.23,70,71,6.49,broken clouds
150,Itarema,-2.9248,-39.9167,77.04,86,4,9.73,clear sky
151,Dolores,-36.3132,-57.6792,48.94,85,100,5.39,light rain
152,Tarakan,3.3,117.6333,78.3,94,40,2.3,scattered clouds
153,Flinders,-34.5833,150.8552,57.38,94,100,7.0,moderate rain
154,Mogadishu,2.0371,45.3438,77.14,78,97,18.03,overcast clouds
155,Andrews,32.3187,-102.5457,99.41,17,75,11.5,broken clouds
156,San Patricio,28.017,-97.5169,94.06,53,84,16.69,broken clouds
157,Margate,51.3813,1.3862,55.87,81,0,3.0,clear sky
158,Upernavik,72.7868,-56.1549,37.4,84,57,10.58,broken clouds
159,Karoi,-16.8099,29.6925,50.92,82,11,4.05,few clouds
160,Hilton Head Island,32.2163,-80.7526,84.31,88,75,9.22,broken clouds
161,Porbandar,21.6422,69.6093,83.03,82,100,17.98,overcast clouds
162,Sinnamary,5.3833,-52.95,78.08,84,79,9.86,broken clouds
163,Luwuk,-0.9516,122.7875,77.36,88,91,1.59,overcast clouds
164,Westerland,54.9079,8.3033,60.82,72,40,13.8,scattered clouds
165,Mahebourg,-20.4081,57.7,68.29,77,40,13.8,scattered clouds
166,Thompson,55.7435,-97.8558,59.16,51,75,14.97,broken clouds
167,Tezu,27.9167,96.1667,74.3,87,17,2.95,few clouds
168,Abadan,30.3392,48.3043,96.75,15,0,16.11,clear sky
169,Kudahuvadhoo,2.6708,72.8944,78.67,88,100,18.3,overcast clouds
170,Luderitz,-26.6481,15.1594,61.07,67,0,0.78,clear sky
171,Nynashamn,58.9034,17.9479,67.1,97,9,11.92,moderate rain
172,Belgrade,44.804,20.4651,78.46,63,0,3.44,clear sky
173,Mar Del Plata,-38.0023,-57.5575,51.1,77,0,14.97,light rain
174,Chabahar,25.2919,60.643,83.39,82,98,6.46,overcast clouds
175,Port-Gentil,-0.7193,8.7815,75.16,88,20,4.61,few clouds
